,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
symfony-tags_2014-06,65791.0999111297,0.10000000435052131,0.10001390150470034,0.10000970347160602,0.10001278348325131,0.1000124185405703,0.10001116103041097,0.10000000336820469,0.10001199530351325,0.10001686122952215,symfony,2014-06
symfony-tags_2012-01,45682.099921034554,0.10000000450096007,0.1000124874406108,0.10000794666385977,0.1000137170969291,0.10001051307945122,0.10000872266961224,0.10000000352518938,0.10001052343052289,0.1000150187804523,symfony,2012-01
symfony-tags_2016-01,66921.09988998537,0.10000000483771185,0.10002363075272863,0.10001111402169806,0.10001486744324542,0.10001686465804238,0.10001231387275514,0.10000000379787204,0.10001381184461819,0.10001735835579449,symfony,2016-01
symfony-tags_2013-06,57402.09991723092,0.10000000448312128,0.10001341104750142,0.10000849760304076,0.10001240490176674,0.10000907506100105,0.1000095248079802,0.10000000355353023,0.10001112219755251,0.10001868960402295,symfony,2013-06
symfony-tags_2014-01,65284.09991599426,0.1000000042865149,0.10001348272520523,0.10000916609618181,0.1000126241589435,0.10001001903676265,0.10001067308480717,0.10000000331953693,0.10001157353105683,0.10001642238992603,symfony,2014-01
symfony-tags_2010-06,21167.15672618426,0.1000000104088082,554.4507070833104,0.10001881277981058,0.10001050122111231,0.10002580996490967,0.10001649674039666,0.10000000899619987,0.10001726180475543,119.69247779057183,symfony,2010-06
symfony-tags_2011-06,44491.09986709704,0.100000005752756,0.10001936436280673,0.10000977381626833,0.1000150595603962,0.1000264685534744,0.10001119692804136,0.10000000396942682,0.10001552211816013,0.1000354764280545,symfony,2011-06
symfony-tags_2012-06,53260.0999121074,0.10000000430997506,0.10001194295204802,0.100008897204117,0.1000116598159719,0.10000909333531738,0.10001212886028389,0.1000000035317173,0.10001081390403066,0.10002331589160678,symfony,2012-06
symfony-tags_2015-01,67261.09990191009,0.10000000461482214,0.10001566744858975,0.10001048196162314,0.10001390822107172,0.10001617858762564,0.1000117672710116,0.10000000357620449,0.10001304453869612,0.10001699174857592,symfony,2015-01
symfony-tags_2015-06,82575.0998111621,0.10000000653659945,0.10001731577856955,0.10002105119678462,0.10005945714480528,0.10002361877916016,0.10002275057229708,0.10000000580848473,0.10002140417995244,0.10002314229804658,symfony,2015-06
symfony-tags_2011-01,31607.099901090674,0.10000000476389125,0.10001597870012209,0.10000850410786673,0.10001630661676814,0.10001205446947108,0.10000964598203173,0.10000000353149585,0.10001250139702772,0.10002389037080515,symfony,2011-01
symfony-tags_2013-01,56543.09991603591,0.10000000445936298,0.10001343620476504,0.10000846649696157,0.10001232380932873,0.10000907066029172,0.10000948764656456,0.10000000354466987,0.10001090058340106,0.100020235511745,symfony,2013-01
rails-tags_2014-06,0.10001578787871497,0.10000004071324688,0.10002673369358629,0.10001353076542663,67464.0998780288,0.10001007555634311,0.1000153859335155,0.10000000484251127,0.10001744731028758,0.10002289661108207,rails,2014-06
rails-tags_2012-01,0.10001542997187089,0.10000000489245299,0.1000112253898236,0.1000142680502592,56710.09989787026,0.10001047993057152,0.10001556523830482,0.1000000045585262,0.1000158620006515,0.10001923642933232,rails,2012-01
rails-tags_2006-06,0.10001917953943772,0.10000000890435934,0.1000176126336875,0.10001926127372918,23041.142067134155,59.50708377977641,0.10002160962798232,0.10000000831919208,62.65074914729806,0.10002221743835882,rails,2006-06
rails-tags_2016-01,0.10002010600946958,0.10000005829828525,0.10003396115265556,0.10002162195466442,78756.53849580027,0.10001351287343842,0.10002350295517745,0.10000000578628773,0.1000267899779485,157.66136454570292,rails,2016-01
rails-tags_2013-06,0.10001521095391395,0.10000000504246766,0.10001160342997259,0.10001345391147234,61612.09989736838,0.10000960933791825,0.10001528515527842,0.10000000471895863,0.10001646031519527,0.10002093823327657,rails,2013-06
rails-tags_2005-06,0.10001895331746158,0.10000001152488021,0.10001596028429079,0.10001942961183188,13964.527794659143,0.10002678357739636,0.10002006940012748,0.10000001107896643,169.67207766223223,0.10002642604058741,rails,2005-06
rails-tags_2014-01,0.10001516256401281,0.10000004244400201,0.1000258417825029,0.10001285482567522,64062.09986060258,0.10000995189017615,0.10001441646946986,0.10000000472677659,0.10001713310944971,0.10004392669911225,rails,2014-01
rails-tags_2010-06,0.10001443330298469,0.10000000532664455,0.1000136702591222,0.10001106994089624,46180.09990076093,0.10001172845205697,0.10001228445168836,0.10000000485395596,0.10001757955807163,0.10001841641213602,rails,2010-06
rails-tags_2009-06,0.10001613842982268,0.10000000929660653,0.10002354465371578,7.3921498493309095,53888.84777673745,0.10002809875788271,0.10002794790549879,0.10000000819656116,38.05994620980994,0.1000313624500343,rails,2009-06
rails-tags_2009-01,0.10001262915925127,0.10000000604798569,0.10001340264703654,0.10001118751207981,48931.099883537834,0.10001937112134215,0.10001235074326735,0.10000000555752432,0.10002862591812187,0.1000188262041067,rails,2009-01
rails-tags_2011-06,0.10001574351755493,0.10000000495015048,0.10001162360560167,0.10001469870094673,53531.09989424108,0.10001040666237249,0.10001581229488228,0.10000000460489206,0.10001894617177748,0.1000184676244799,rails,2011-06
rails-tags_2012-06,0.10001422146345691,0.10000000471554536,0.10001037365473214,0.10001384087107507,57922.09990231858,0.1000092447856213,0.1000153522093113,0.10000000443587145,0.10001558914316709,0.10001899689069405,rails,2012-06
rails-tags_2008-01,0.10001567889053928,0.1000000092351595,0.10002109233968655,0.10001873149286744,32287.099853309173,0.10002495116037494,0.10001890524964983,0.10000000825757029,0.10002349422246713,0.10002376321681179,rails,2008-01
rails-tags_2007-06,0.10001753566011107,0.10000000907365134,0.10002301446071088,0.10001908953166481,29727.181662372284,6.018207601540647,0.10002163925270334,0.10000000814387368,0.10002869568073335,0.10001998300975382,rails,2007-06
