,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
symfony-tags_2014-06,0.10001552165812269,39465.09987111728,0.10001500099826018,0.1000223776839759,0.10000000470724725,0.10001690293152099,0.10001344354326154,0.10000913169209759,0.10001933845556903,0.10001714716527244,symfony,2014-06
symfony-tags_2012-01,0.10001721977199914,26256.099871960563,0.10001367554223758,0.10002225840096839,0.10000000485311819,0.10001903740482976,0.10001121007037851,0.10000970590058147,0.10001765240270565,0.1000172655793717,symfony,2012-01
symfony-tags_2016-01,0.10001893729412789,40381.09984561172,0.10001710373487847,0.10002467709751298,0.10000000557438364,0.10001765523913148,0.10001499465560355,0.10001856287571874,0.10002295307284598,0.10001948191653245,symfony,2016-01
symfony-tags_2013-06,0.10001469747048058,34675.09988163068,0.10001365603415753,0.10002007008660058,0.10000000483901111,0.10001876381246608,0.10001165933650774,0.10000947055939821,0.10001503548192019,0.10001499916249251,symfony,2013-06
symfony-tags_2014-01,0.10001534929876614,39117.099871093895,0.10001443577258037,0.1000268270905991,0.10000000462112214,0.10001677764125937,0.10001297626243114,0.10000912072327507,0.10001644840137054,0.10001695280266214,symfony,2014-01
symfony-tags_2010-06,0.10001145083490387,12287.56408121291,0.10002039933529737,770.1678307055396,0.10000000723997898,0.10002663515569403,0.1000219589275531,0.10000880311671699,50.56798795547752,0.10001086434805981,symfony,2010-06
symfony-tags_2011-06,0.10002029682254174,25178.099783747697,0.10001999156882177,0.10003506639087963,0.1000000059285246,0.10004192715428473,0.10001470867131378,0.10002841011944194,0.10003705519991184,0.10001877929607043,symfony,2011-06
symfony-tags_2012-06,0.1000145609029154,31996.099879275553,0.10001313359685897,0.10001917452523505,0.10000000477827742,0.1000202988833974,0.10001401565223646,0.10001069334081235,0.10001514377573012,0.10001368757831965,symfony,2012-06
symfony-tags_2015-01,0.10001760411998879,40448.099854251996,0.10001624178681397,0.10002345366091646,0.10000000515796001,0.10001687553333614,0.10001430279200377,0.10001708882861658,0.10002179116095956,0.10001836936691709,symfony,2015-01
symfony-tags_2015-06,0.10003077289115542,49728.902717169025,0.10002707173588085,0.10002694148939574,0.10000000823954303,0.10002321807307898,0.1000268073599137,0.10002439436816482,0.10003126022063143,11.2970923259952,symfony,2015-06
symfony-tags_2011-01,0.10002083638356686,17841.09983800708,0.1000167841282343,0.10002807542192103,0.10000000565717976,0.10002144036628778,0.10001259586093197,0.1000167224092873,0.10002114512204979,0.10002438003245047,symfony,2011-01
symfony-tags_2013-01,0.10001453342888723,34107.0998826749,0.10001341047192444,0.10002000772633482,0.10000000479344179,0.10001893191052424,0.10001163098302006,0.10000875816872762,0.10001506579145436,0.10001496961680674,symfony,2013-01
