,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,project,date
symfony-tags_2014-06,0.05000000099634915,0.05000000104934784,0.050000000823229314,0.050000000000000114,0.0500000000000001,0.05000000000000007,56695.04999997112,0.05000000102218839,0.05000000109406994,0.05000000000001461,0.050000001124075585,0.050000000000000044,0.05000000000002515,0.05000000101761638,0.0500000009961365,0.050000000635111626,0.05000000078856139,0.05000000127997348,0.050000000000001855,0.05000000095519643,symfony,2014-06
symfony-tags_2012-01,0.05000000087052425,0.0500000011029185,0.05000000108730183,0.05000000000000012,0.050000000000000114,0.05000000000000007,38283.04999997165,0.05000000090049398,0.05000000111082544,0.050000000000016614,0.050000001074321544,0.050000000000000044,0.050000000000025226,0.050000000855327645,0.05000000101624192,0.05000000075806477,0.05000000054224137,0.05000000690788942,0.05000000000000139,0.050000001201921655,symfony,2012-01
symfony-tags_2016-01,0.05000000113751287,0.050000001170763246,0.05000000095899789,0.05000000000000012,0.05000000000000011,0.05000000000000008,58184.049999966395,0.05000000113794807,0.050000001230805294,0.05000000000001459,0.050000001184088046,0.05000000000000005,0.05000000000002427,0.05000000115078457,0.05000000112730126,0.050000001394015975,0.050000000814121766,0.0500000012172961,0.05000000000000188,0.050000001194991595,symfony,2016-01
symfony-tags_2013-06,0.05000000089906634,0.0500000009701373,0.05000000081828432,0.0500000000000001,0.0500000000000001,0.05000000000000007,49138.049999975694,0.05000000088446718,0.050000000917855454,0.05000000000001465,0.05000000105249302,0.050000000000000044,0.05000000000002558,0.050000000922168227,0.05000000086569007,0.05000000062728175,0.0500000005787225,0.05000000105689092,0.05000000000000202,0.050000000860043844,symfony,2013-06
symfony-tags_2014-01,0.0500000009614244,0.05000000103259993,0.05000000082245849,0.050000000000000114,0.0500000000000001,0.05000000000000007,56272.04999997212,0.050000000991317885,0.05000000094992592,0.05000000000001457,0.05000000109403879,0.050000000000000044,0.050000000000025066,0.05000000100738763,0.05000000098359098,0.05000000063929505,0.05000000077838145,0.05000000109016265,0.050000000000001855,0.05000000094743824,symfony,2014-01
symfony-tags_2010-06,0.050000001241180585,156.2528026331039,0.050000000918684284,0.05000000000000015,0.050000000000000135,0.050000000000000086,17636.04099414615,0.05000000115535811,35.71285036427523,0.05000000000001742,68.76681269621055,0.05000000000000006,0.050000000000028105,0.050000001136160536,0.050000001083987125,0.0500000007094776,0.05000000101740222,21.47654014394182,0.050000000000001536,0.05000000104126631,symfony,2010-06
symfony-tags_2011-06,0.05000000096013275,121.11445582581948,0.05000000184359283,0.05000000000000012,0.05000000000000012,0.05000000000000008,37296.162285528204,0.05000000092462674,0.05000000127077547,0.05000000000001684,0.050000001183140234,0.050000000000000044,0.05000000000002577,0.0500000009340836,0.05000000109188723,31.201901811798436,0.05000000052498028,24.721356812566672,0.05000000000000142,0.05000000113831613,symfony,2011-06
symfony-tags_2012-06,0.050000000846864276,0.05000000097761389,0.05000000083225491,0.0500000000000001,0.05000000000000009,0.05000000000000007,45597.04999997655,0.05000000098836173,0.05000000087408963,0.0500000000000144,0.050000001041371776,0.050000000000000044,0.050000000000024206,0.05000000089198986,0.05000000082934189,0.05000000063251488,0.050000001092815556,0.050000001081063956,0.05000000000000194,0.05000000086879485,symfony,2012-06
symfony-tags_2015-01,0.050000001074415684,0.05000000115424456,0.05000000084439219,0.05000000000000012,0.05000000000000011,0.05000000000000008,58052.0499999672,0.05000000109768318,0.05000000121725453,0.05000000000001459,0.05000000117896919,0.05000000000000005,0.05000000000002499,0.05000000109940409,0.05000000106639186,0.05000000135987847,0.050000000810659695,0.05000000196045651,0.05000000000000191,0.050000001096995476,symfony,2015-01
symfony-tags_2015-06,92.63631690777505,177.49952780269373,0.05000000120730969,0.05000000000000016,0.05000000000000033,0.0500000000000001,71876.11625589871,136.0074010916773,0.05000000130518203,0.05000000000001406,0.05000000127315893,0.05000000000000006,0.05000000000002676,35.683863654075914,0.05000000126452892,0.05000000116245734,0.05000000132654574,27.881305536800067,0.05000000000000206,59.525329069805785,symfony,2015-06
symfony-tags_2011-01,0.05000000109094757,72.67778440604377,0.050000001065786066,0.050000000000000155,0.05000000000000014,0.050000000000000086,25465.42221557392,0.05000000103435513,0.05000000117064613,0.050000000000019536,0.050000001297501984,0.05000000000000005,0.050000000000029625,0.05000000100442526,0.050000001237829245,0.050000000792686274,0.050000000732459374,0.050000001183256954,0.05000000000000161,0.05000000107879135,symfony,2011-01
symfony-tags_2013-01,0.05000000087875115,0.050000000979082276,0.05000000081946162,0.0500000000000001,0.05000000000000009,0.05000000000000007,48336.049999969706,0.05000000086525599,0.05000000091305515,0.050000000000014644,0.05000000104890505,0.050000000000000044,0.050000000000025434,0.05000000090498528,0.05000000085803672,0.05000000059698441,0.05000000057191658,0.05000000761960148,0.05000000000000203,0.05000000085163077,symfony,2013-01
rails-tags_2014-06,0.05000000112123953,0.050000000988694754,0.050000001211112824,0.05000000000000016,0.05000000000000038,0.05000000000000008,0.05000000117991261,0.05000000117359691,0.05000000101851485,0.050000000000011285,0.05000000100475857,0.05000000000000005,0.05000000000000653,0.05000000113324714,63159.04999995263,0.05000000110642377,0.050000001072910694,0.05000000097581571,0.05000000000000098,0.050000013547802716,rails,2014-06
rails-tags_2012-01,0.050000001089960805,0.050000000904779504,0.05000000117918921,0.05000000000000017,0.050000000000000384,0.050000000000000086,0.05000000118557387,0.050000001121004264,0.05000000107194792,0.050000000000011265,0.050000001046057216,0.05000000000000005,0.05000000000000756,0.05000000104279874,52421.056255468204,0.050000001017838525,0.05000000108101022,0.05000000111133419,0.0500000000000011,670.0437445019555,rails,2012-01
rails-tags_2006-06,26.88787195726203,0.05000000095857356,0.050000000811574644,0.05000000000000019,0.05000000000000047,0.05000000000000009,0.0500000011196876,0.050000001116862015,0.05000000104484032,0.050000000000011806,0.050000001153951285,0.05000000000000005,0.05000000000000717,0.05000000121490838,3611.930943975553,45.776763142303075,0.050000001104928915,0.05000000097148082,0.050000000000001085,15643.604420908016,rails,2006-06
rails-tags_2016-01,0.05000000123688945,76.63032724058047,331.5675660504677,0.050000000000000155,0.050000000000000364,0.05000000000000008,0.050000001140438025,8.888420480720006,0.050000001161288415,0.05000000000000971,0.050000000971698336,0.05000000000000005,0.05000000000000589,82.02950408318455,73677.1341821067,0.050000001109863995,0.05000000129042987,0.05000000104440778,0.05000000000000089,0.05000000119059669,rails,2016-01
rails-tags_2013-06,0.050000001100900665,0.05000000099836063,0.050000001256900004,0.05000000000000016,0.05000000000000039,0.050000000000000086,0.05000000121069659,0.05000000113240699,0.050000001041561305,0.050000000000011466,0.05000000100618397,0.05000000000000005,0.0500000000000068,0.05000000111165106,58018.04999996694,0.05000000109450975,0.05000000107786096,0.05000000098287386,0.050000000000001016,0.05000000122058815,rails,2013-06
rails-tags_2005-06,0.05000000126270339,0.050000001135665925,0.05000000075488267,0.0500000000000002,0.05000000000000053,0.05000000000000009,0.050000001118271416,0.05000000107732449,0.05000000100910548,0.05000000000001246,0.050000001037663354,0.05000000000000005,0.050000000000007615,0.05000000131299146,1630.3437685331985,0.05000000144474088,0.05000000125931,0.05000000102038931,0.05000000000000115,10024.756231450096,rails,2005-06
rails-tags_2014-01,0.05000000111582743,0.05000000099687991,0.4028121254820761,0.05000000000000016,0.050000000000000384,0.050000000000000086,0.05000000118915059,0.05000000113970858,0.05000000101969817,0.050000000000011605,0.05000000100069503,0.05000000000000005,0.05000000000000667,0.0500000011315766,60096.69718784187,0.0500000011296511,0.05000000106615739,0.05000000098034483,0.05000000000000099,0.05000000121064328,rails,2014-01
rails-tags_2010-06,0.05000000111593115,0.05000000098005615,5.072790976708396,0.050000000000000176,0.0500000000000004,0.05000000000000009,0.05000000112402597,0.05000000102917505,0.05000000102217933,0.050000000000011105,0.05000000117248296,0.05000000000000005,0.05000000000000855,0.05000000108291939,38697.16108222834,0.05000000104149089,0.05000000105836721,0.050000001151593455,0.05000000000000117,3772.916126769138,rails,2010-06
