,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,project,date
symfony-tags_2014-06,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,180.3769531496095,0.025,23658.673046844553,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2014-06
symfony-tags_2012-01,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,13800.33446305029,0.025,690.7155369442307,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2012-01
symfony-tags_2016-01,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,98.83505325005052,0.025,24448.214946742894,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2016-01
symfony-tags_2013-06,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3312.059606652098,0.025,17493.990393341777,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2013-06
symfony-tags_2014-01,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,157.83853998197162,0.025,23510.211460012328,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2014-01
symfony-tags_2010-06,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,8075.701714575706,0.025,0.025000000000000005,0.025,0.025,0.025,99.34828542149374,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2010-06
symfony-tags_2011-06,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,13590.887690404232,0.025,321.162309591302,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,symfony,2011-06
symfony-tags_2012-06,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3436.672037149575,0.025,15571.377962844866,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,symfony,2012-06
symfony-tags_2015-01,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,118.82773076884358,0.025,24338.22226922471,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2015-01
symfony-tags_2015-06,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,8.855055208286528,0.025,29440.19494477893,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,symfony,2015-06
symfony-tags_2011-01,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,10202.024999997962,0.025,0.02500000000000031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,symfony,2011-01
symfony-tags_2013-01,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,3289.776952833244,0.025,17129.27304716076,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,symfony,2013-01
rails-tags_2014-06,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,0.025,3720.0098994461578,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,23489.04010054187,0.025,0.025,0.025,0.025,0.025,rails,2014-06
