,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
ninja-tags_2014-06,216.01929744820657,6630.726606606819,429.50231511645984,0.10002915970835356,234.32536987813808,243.57562485235178,903.4120458788634,2301.5381934166035,0.10002619676510478,849.7004914416726,ninja,2014-06
ninja-tags_2016-01,467.55143449742025,9276.46659127781,667.7881575105316,924.419246893501,441.04250974200045,120.59558325312734,1233.0501532224016,2851.342132331677,0.10002705617203754,2048.6441642079344,ninja,2016-01
ninja-tags_2013-06,115.68287883663506,4850.59057721401,78.49913305766935,0.10002731230501521,297.96065285940443,287.5247701222092,694.1254089856014,334.64267226786734,0.10002962384596273,320.773849717729,ninja,2013-06
ninja-tags_2014-01,268.65373670436236,5716.576865207259,328.05932128889754,22.121194320868987,155.66967470711944,162.12401160052124,864.4764239424563,1777.7704189047663,0.10002542811425379,490.44832789182135,ninja,2014-01
ninja-tags_2015-01,257.98424614959305,8364.64100127354,475.50494604098327,4.646865572201852,337.9407602388447,175.69728810921436,1004.2801671949022,2487.4778029222175,0.10002626243631238,1267.7268962306823,ninja,2015-01
ninja-tags_2015-06,253.14322725647315,8671.4747180667,744.2328259743682,549.3117237400784,443.6556870822267,268.55877737067345,1042.9376458154222,2720.140205177001,0.1000276006311982,1462.4451619099939,ninja,2015-06
ninja-tags_2013-01,104.58755191596781,4084.901750704716,82.59497812248854,0.10002669310496777,196.3468926526942,57.980544631386735,479.5512950673911,341.28459803146495,0.10002835210230263,243.5523338266254,ninja,2013-01
cassandra-tags_2014-06,0.10002563012519745,0.10002781228179276,0.10004447720138264,0.10002752964627137,0.10002605329710293,0.10002468332106616,0.10002556138336903,0.10002204422282326,258990.09974810228,0.10002803699903225,cassandra,2014-06
cassandra-tags_2012-01,0.10002590008738496,0.10002809742195262,93.97622859596878,0.10002904298672219,0.10002753932906237,0.10002683923846949,0.10002655153495112,0.10002493444007499,232835.62223464547,19.70134778753775,cassandra,2012-01
cassandra-tags_2016-01,0.10002672485888443,0.10002789508559636,33.79655877490154,0.10002886465442795,0.10002688822068823,0.10002338836800487,0.1000246243576142,0.10002198264911406,230614.8142429366,413.68901785640594,cassandra,2016-01
cassandra-tags_2013-06,0.10002560216720877,0.10002852216189893,42.93562849623995,0.10002879794272976,0.10002718833965162,0.10002594397135636,0.10002687420866276,0.10002113700973021,245240.22997001986,42.13421734871626,cassandra,2013-06
cassandra-tags_2014-01,0.10002570323717358,0.10002861972716569,12.98238335429417,0.10002890964425636,0.10002728112380196,0.10002596871398521,0.1000269197491405,0.10002144329425516,248583.02173720463,16.295694525547514,cassandra,2014-01
cassandra-tags_2010-06,0.10002680708620659,0.36319103673678177,234.08742756313057,0.1000291408718538,131.27754022586532,0.10002716618185772,9.025621557457075,0.10002132669656294,216091.5601940605,896.2859210489918,cassandra,2010-06
cassandra-tags_2009-06,0.10002888050342822,77.44393197342387,245.89279279518905,185.26503384290166,60.0204093673247,0.10003024242424208,0.1000313893347654,0.10003519262791999,243747.5498402645,919.4278659692886,cassandra,2009-06
cassandra-tags_2011-06,0.10002702318473643,477.02222214840356,63.76796489529528,0.10002977383464377,0.10002832286368891,0.10002699871827055,0.10002850181657051,0.10002445038889202,231011.12614782562,206.48349999175792,cassandra,2011-06
cassandra-tags_2012-06,0.10002537077882986,0.10002789337669105,60.69075830176701,0.10002866550896608,0.10002684273275825,0.10002603593030956,0.10002586224320155,0.10002248866327419,236013.4151061449,4.193952328379636,cassandra,2012-06
cassandra-tags_2015-01,0.10002538848911562,0.10002767027126531,0.10003303602838076,0.10002697702813956,0.10002548118331522,0.10002410736900699,0.10002364758432077,0.1000219072584938,267393.09976429126,0.10002742284457679,cassandra,2015-01
cassandra-tags_2015-06,0.10002657551654112,0.10002684185196935,0.1000285868295987,0.10002740774381273,0.10002616820716138,0.10002343721108364,0.10002433756579569,0.10002407706208712,263249.72766560764,58.47212688845537,cassandra,2015-06
cassandra-tags_2010-01,0.10002573359631596,0.10002990649361397,52.97526233055348,0.10002986974394172,102.97108536916808,0.10002576189543376,0.10004294797112238,0.10002120098624288,238782.0759499588,447.37752685245135,cassandra,2010-01
cassandra-tags_2011-01,0.10002531563072137,15.568688119015262,163.92160405879798,0.10003044438366131,153.08378522393943,0.1000271240548713,0.10003904849379595,0.10002408769989073,223844.668517062,350.25725944899585,cassandra,2011-01
cassandra-tags_2013-01,0.10002559250646856,0.10002827454794812,22.063464939884483,0.10002837716714762,0.10002732183166668,0.10002584500486986,0.10002541995828972,0.10002121738241601,244516.33238821337,12.90396472882713,cassandra,2013-01
frappe-tags_2014-06,685.9098641726475,0.10001885893974585,0.10002999018442772,1563.462919874585,96.12323459598909,1924.5118251706608,0.10002731686270477,10601.49203094616,0.10002606888467776,0.10002300075349331,frappe,2014-06
frappe-tags_2012-01,439.8541381101763,0.10002013174147348,17.399394112404824,583.8746723394288,0.10003014140246863,942.8212650287472,40.67765913884185,5005.038233781377,138.03456885066686,0.1000183632613671,frappe,2012-01
frappe-tags_2016-01,856.3748622146084,0.10002225462406655,34.31758812103735,1892.6275156624974,249.46460967585114,3444.053587577203,0.10002346643190768,14546.761737818091,0.10002768406706349,0.10002551941367399,frappe,2016-01
frappe-tags_2013-06,266.4824256701277,0.10002584211090865,0.100030557039092,1431.0119337215822,506.4230023282129,2461.671453118852,0.10002284984455088,9281.911068281175,0.10002118956072475,0.1000164382635292,frappe,2013-06
frappe-tags_2014-01,459.5921384802031,174.6468319909063,0.10002524363168018,1454.1087617984956,121.74426096303691,1604.4802211985495,0.10002309338705258,9909.027695244624,0.10002497935775764,0.1000170042844356,frappe,2014-01
frappe-tags_2012-06,205.08738471313626,0.10001742603186246,0.10002929888475129,737.0807896742436,248.25934276137525,1339.1922198663917,0.10002463857919153,4699.880151793713,0.10002282684868283,0.10001699910859509,frappe,2012-06
frappe-tags_2015-01,689.1910136605916,0.10002167868466359,0.1000278757635755,1713.7527201022847,63.776007094752885,3039.357402952226,0.10002696802267781,12010.422730236565,0.10002506413438071,0.10002436182514686,frappe,2015-01
frappe-tags_2015-06,780.1146352865802,0.10002182020392093,0.10002605172518676,1737.5041275008805,72.11980601958182,3082.9375229581015,0.1000243457105819,13217.823783400987,0.1000256172792365,0.10002699355059443,frappe,2015-06
frappe-tags_2013-01,256.4360180620885,0.10001716731097474,8.092799737800748,1210.957495900291,636.4498326604063,2461.2568447614567,0.1000237397177195,8392.406929548113,0.10002181916800414,0.10001660062715396,frappe,2013-01
cakephp-tags_2014-06,13.588553784407791,0.10002953997281885,0.10002940853500376,0.10003214969624122,0.1000298334682839,176.34214171897779,126.19120678937782,61960.99302798007,0.10002727679422005,84.38492149579284,cakephp,2014-06
cakephp-tags_2012-01,0.10002679786470318,0.10003039353718464,0.10002487363169678,0.10002573992924299,0.10002375972947271,0.1000270165703256,0.10002683892608422,54379.09976121298,0.10002692798382205,0.10002642578071526,cakephp,2012-01
cakephp-tags_2006-06,48.9526980281703,0.10002196268930057,0.10002217008740354,0.1000236085090254,10.814106707434243,211.07247416013445,0.10002437666908026,6581.82166596891,338.8389447138614,0.10001830134364394,cakephp,2006-06
cakephp-tags_2016-01,365.53690728835977,0.10002243559625562,59.43369986165914,7.384967881982354,0.10002597505307605,3561.1894095763287,4839.773041447301,42212.269974899296,1009.852687037838,31.35926357996314,cakephp,2016-01
cakephp-tags_2013-06,0.10002950111858504,0.10003063120381268,0.10002810097228149,0.10003082396170729,6.794153684640804,37.579698435871535,57.25321831781978,59221.77275114156,0.10002808016024219,0.10003126453555848,cakephp,2013-06
cakephp-tags_2005-06,0.10003143182230126,0.10002668579025424,0.10002307723917725,0.10002939399455678,16.619844441018163,191.88429112464968,164.11881934393134,2519.441310486663,38.43560372078575,0.10002029297270297,cakephp,2005-06
cakephp-tags_2014-01,171.82708174264803,0.10003152846585733,0.10003068270211897,2.3397923158157083,0.10002807748318443,1318.4544480609015,1977.1351282437195,42639.103558426716,0.10002932052177085,38.7398715859244,cakephp,2014-01
cakephp-tags_2010-06,0.10002879536401812,0.10001763278411391,0.10002136557618643,0.10001876361714356,0.10002184652548939,0.10002534530475242,0.10002295982720719,48851.09979521089,0.10002399562503549,0.10002407317285002,cakephp,2010-06
cakephp-tags_2009-06,0.10002463692197525,0.10002872240129893,0.10002307336951806,0.10001934612509022,0.10002183650420178,7.001801284085399,0.10002279192986302,44142.19800813691,0.10002624156152927,0.10002391963671226,cakephp,2009-06
cakephp-tags_2009-01,0.10002423131893151,0.10002730564093901,0.10002155148092849,0.10001922428573812,0.100021896377677,6.9868067746796,0.10002286228157113,42872.21300794946,0.1000255430908896,0.1000226511836481,cakephp,2009-01
cakephp-tags_2011-06,0.10002685360417592,0.10003042502831674,0.1000257701345155,0.10002313420167701,0.10002072056007116,0.10002694466624745,0.10002525841329785,51151.09976913989,0.10002594569700042,0.1000257956878489,cakephp,2011-06
cakephp-tags_2012-06,0.10002662798239632,0.10003176218559252,0.10002656445296146,0.10002602132274073,0.10002918348726242,0.1000277933985339,0.10002885571951718,57241.09974544045,0.10002791900087872,0.10002981741608037,cakephp,2012-06
cakephp-tags_2008-01,0.1000259920823018,0.10001844980926099,0.10002186549315678,0.10002024547726147,0.1000284867190544,30.338094900355113,0.10002831565668341,24774.861707195083,0.10002945005012341,0.1000250926264379,cakephp,2008-01
cakephp-tags_2007-06,0.10003072356581254,0.10002034004098359,0.10002259575551162,0.10002085559628811,0.10003418514666439,131.93920483757927,0.10002733395357977,14539.453513430115,228.9071054751948,0.10002021875157835,cakephp,2007-06
cakephp-tags_2006-01,23.508439525108965,0.10003315271267559,0.10002542206815038,0.10003237373307862,23.09911336943469,195.87354255004948,0.10002982090593955,4257.864212981156,147.15454776425975,0.1000230389825124,cakephp,2006-01
cakephp-tags_2008-06,0.1000248445914389,0.10001695111471998,0.10002157358888669,0.1000174742513352,0.10002464471973763,7.115224972926065,0.10002369549212337,36076.084600751135,0.10002464958969551,0.10002043367793981,cakephp,2008-06
cakephp-tags_2015-01,339.5794885882121,0.10002216802388142,1.9376847145284282,11.106895157403992,0.10002685063503187,3063.335506073872,3700.9358851747265,37087.40193786504,584.7023132427008,42.800240150872376,cakephp,2015-01
cakephp-tags_2015-06,280.1690130110422,0.10002246786567566,0.10002954615624197,12.813665605905264,0.10002599408274729,3376.216312251817,4120.530382840242,39032.124474213466,773.5523348540373,55.29373920049715,cakephp,2015-06
cakephp-tags_2007-01,14.461045287581097,0.10001973487488017,0.10002183899841095,0.10002182869348604,0.10003755018276957,323.31386300576924,0.10002610266173892,8504.888628970486,341.7363133099158,0.10002236809423587,cakephp,2007-01
cakephp-tags_2010-01,0.10002721841492951,0.10004229915127703,0.10003610321971533,0.10002046767895345,0.10002350307588931,0.10002751503975812,0.10002285160724693,47879.09972897952,0.10003393357902361,0.10003711637420588,cakephp,2010-01
cakephp-tags_2011-01,0.10002810679827753,0.10003023887555011,0.10002505036893007,0.10002134279013387,0.10002294394941347,0.1000287873339151,0.10002515718462004,50390.09976673369,0.10002605075946298,0.10002557641792337,cakephp,2011-01
cakephp-tags_2013-01,0.10002838721967071,0.10003001342093439,0.10002636143367814,0.10002906878215975,26.24800262150935,0.10002828522044167,80.59188717981532,55828.61132600348,0.10002427079528418,63.94861779155771,cakephp,2013-01
hanami-tags_2014-06,32.82334618267403,0.10002741404565864,31.05808806804841,29.02677281884456,0.10000827528289746,169.57603779624182,115.96632828204575,82.14936244067717,0.1000131562074565,0.10001556567738704,hanami,2014-06
hanami-tags_2016-01,604.2047268368564,0.10001583462273546,22.380244949899584,717.9628862887175,0.10000960698102458,2181.1675830909344,272.39530153107495,177.4891986230315,0.10001956855934117,0.10001366773881533,hanami,2016-01
hanami-tags_2014-01,48.90279285124294,0.10003232948599662,5.552273635491409,41.678566613646865,0.10001086993913344,134.16555750136996,93.51674143225694,61.78398964740968,0.10001546012952534,0.10001965877817329,hanami,2014-01
hanami-tags_2015-01,417.75211920409305,0.10001957634110056,16.399591496023113,116.20151930171006,0.10000752828197544,555.2461775885703,207.21327314706517,73.55881040999056,15.328468956692555,0.10001279065514959,hanami,2015-01
hanami-tags_2015-06,505.6587183204138,0.10001829741514492,30.90014675447129,275.60186538139715,0.10000798402463242,945.4571757914099,209.3416558809231,30.640371489469572,0.10002916425217338,0.10001093546314578,hanami,2015-06
wildfly-tags_2014-06,0.10002792246793449,483.9327002719197,299.2654232101581,688780.6948963567,264.83786304513745,61.6444907323774,2340.4499418120367,0.1000307338155821,1521.2825766275798,4024.692049035347,wildfly,2014-06
wildfly-tags_2012-01,259.1308296389833,3366.7249710613232,38.17479938015133,625598.1261445149,39.483834971869044,50.52112044013108,201.95535631306265,0.10002813835901106,4872.021840449332,924.7610748962965,wildfly,2012-01
wildfly-tags_2016-01,0.10002782061287943,3217.104485231358,0.10002918226024678,405794.92390030855,0.10002775614477918,0.10002672356352424,0.10002562009989509,0.10002554996100124,0.10002781284949169,1.2714238875203956,wildfly,2016-01
wildfly-tags_2013-06,4.746444052497076,1280.9454206801756,227.11510040623128,683917.0934152759,409.57589042989815,0.10002910999302507,1094.755565952652,0.10003142758866539,1122.8420343504113,3592.726068088055,wildfly,2013-06
