index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,project,date
0hh1,0.025000000000000005,68.41647466680934,0.025,0.025,65.95192876050521,0.025000000000000005,0.025000000000000005,45.7065028637173,0.025000000000000005,513.4013402860169,0.025,0.025,1962.8101366033763,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,71.18060191531436,95.59406899605884,0.025,0.025000000000000005,12.587601508614524,0.025,0.025000000000000005,0.025,0.025,0.025,0.025000000000000005,0.025,803.5763443979372,0.025000000000000005,0.025,0.025000000000000005,0hh1,2016-01
2048,0.025,0.025,0.025,0.025000000000000005,0.025,0.025,0.025000000000000005,0.025,0.025,129.77934468570132,0.025,0.025,355.2318385841295,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,9.063816729996319,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025,2048,2016-01
AtomicGameEngine,716.0981528143948,0.025000000000000005,0.025000000000000005,0.025000000000000005,4226.044826428158,176.65128952989593,5293.095492742604,416.0085337317948,0.025000000000000005,0.025000000000000005,0.025,5.833884261887977,0.025000000000000005,0.025,0.025,146.79214692488418,0.025000000000000005,0.025000000000000005,4105.138114317853,0.025,606.2941812073825,0.025,0.025000000000000005,501387.0256709316,2.3680037771896214,0.025000000000000005,0.025000000000000005,0.025000000000000005,14.01084177843695,0.025000000000000005,5.261059534068561,0.025000000000000005,6.314599976999031,0.025,0.025000000000000005,0.025,0.025000000000000005,3596.2660632662246,0.025,574.197138535751,AtomicGameEngine,2016-01
BEMSimpleLineGraph,0.025000000000000005,29.972902967672844,394.98274750614854,0.025000000000000005,0.025,0.025000000000000005,35.360797009597576,0.025000000000000005,0.025,0.025000000000000005,0.025,17.665581125531,0.025000000000000005,0.025,0.025,40.36684081729545,0.025,0.025000000000000005,47.8360868904356,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,14.422139857202474,0.025000000000000005,2267.2011031580473,0.025000000000000005,748.8804571976762,0.025000000000000015,0.025,39.56134346777043,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,BEMSimpleLineGraph,2016-01
BrowserQuest,0.025000000000000005,0.025,0.025,0.025000000000000005,6607.266246038794,0.025000000000000005,0.025000000000000005,1179.3501800448157,784.6083828740965,3241.7623920748943,0.025,0.025000000000000005,1812.2208063959984,0.025,0.025,0.025000000000000005,0.025000000000000005,248.25160275394467,0.025000000000000005,0.025,0.025000000000000005,0.025,52.88714145290758,0.025000000000000005,0.025000000000000005,0.025,40.591920782217144,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,186.447901497349,0.025,0.025000000000000005,0.025,381.69088752952587,352.1975385460069,0.025,0.025000000000000005,BrowserQuest,2016-01
CNTK,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,129.63435783602839,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,34.74535475231992,0.025,0.025000000000000005,0.025000000000000005,0.025,59775.02760344978,0.025,0.025000000000000005,0.025000000000000005,642.5757231680069,697.9024222440083,105.26453852180413,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,CNTK,2016-01
Caret,48.58044386335864,0.025000000000000005,0.025000000000000005,565.1847771579914,1345.8447206702144,0.18015897306969647,2623.5920428436325,0.025000000000000005,962.8927872010146,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,2090.8582558112203,79.4584808002123,447.4698516394728,0.025000000000000005,0.025,0.025000000000000005,0.025,149.86797844882835,594.0486942269325,0.025000000000000005,43.858193387710216,212.60386020830788,82.12422854172077,118.45706292958322,62.861097397904466,0.025000000000000005,204.6452430829295,1032.6109327169543,0.025,35.36725094132201,0.025,124834.99393909915,0.025000000000000005,0.025,0.025000000000000005,Caret,2016-01
Chart.js,0.025,0.025000000000000005,27085.67095620872,478.9038144017868,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,479.18034603523427,0.025,0.025,471.20342257692784,2328.9190792280283,0.025,0.025,0.025,17.05561594596578,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,14.241765591917352,0.025,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,Chart.js,2016-01
CodeIgniter,0.025000000000000005,0.025000000000000005,13.272066351868686,0.025,0.025000000000000005,3426.1693215685273,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025000000000000005,30.575274687835147,846.3665281003861,15010.506145551113,0.025,0.025,0.025,0.025,1562.9120505272188,0.025,0.025,0.025,0.025,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025,0.025,0.025,2167.1307987671125,5515.308516696756,0.025,725.98429773647,CodeIgniter,2016-01
Dash,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025,87399.02499996596,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,0.025,0.025000000000000005,0.025000000000000005,0.025,0.025000000000000005,Dash,2016-01
