index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,project,date
0hh1,154.67935379665875,370.31597696424393,0.02,0.02,108.26138722514554,0.02,0.02,0.02,0.02,383.49818564995013,0.02,0.02,1915.2276549872342,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,693.1545960292613,0.02,0.02,0.02,0.02,14.002845345830908,0.02,0.02,0hh1,2016-01
2048,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,125.27264875549544,0.02,0.02,357.7789584919754,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,11.00839275237718,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2048,2016-01
AtomicGameEngine,51.48559792389753,0.02,0.02,0.02,0.02,0.02,52.72365826073774,0.02,0.02,0.02,0.02,514364.73437227216,0.02,0.02,10.126120613983472,479.12992470091916,0.02,18.016990602204668,69.97906774332317,0.02,39.14838433257756,0.02,0.02,6062.526670967149,51.84898612813681,0.02,0.02,0.02,0.02,0.02,52.210457080448066,0.02,0.02,0.02,0.02,0.02,0.02,25.309769132936065,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,AtomicGameEngine,2016-01
BEMSimpleLineGraph,50.391522574463465,20.679553546465208,11.641511304085077,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,53.538642294526966,0.02,0.02,44.646060545643124,0.02,0.02,0.02,20.609000834763705,0.02,0.02,0.02,0.02,0.02,0.02,2367.3004014398366,0.02,659.7661666271518,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,407.6071408320132,0.02,0.02,0.02,0.02,0.02,0.02,BEMSimpleLineGraph,2016-01
BrowserQuest,0.02,0.02,0.02,0.02,9269.873459391742,0.02,0.02,0.02,0.02,3570.279709852291,0.02,0.02,715.0635445868642,0.02,0.02,0.02,0.02,223.69123885009265,0.02,0.02,0.02,0.02,0.02,0.02,170.73974471487665,0.02,83.31034550238583,0.02,0.02,0.02,0.02,0.02,68.63184329294832,0.02,0.02,0.02,473.0975483738588,0.02,0.02,0.02,0.02,35.58566102199731,264.0779531939803,0.02,0.02,12.868951208877283,0.02,0.02,0.02,0.02,BrowserQuest,2016-01
CNTK,0.02,0.02,0.02,0.02,21.93588646732611,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,32.70887801545676,0.02,0.02,0.02,0.02,60012.030220429166,0.02,0.02,0.02,0.02,622.9694322670832,59.86638870804943,0.02,0.02,0.02,0.02,0.02,51.549274135409114,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,63.46322098814713,220.58838371454655,0.02,0.02,0.02,300.0683152460425,0.02,CNTK,2016-01
Caret,0.02,0.02,0.02,0.02,95.3962882811727,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,14.11731660209316,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,135425.5463950604,0.02,0.02,0.02,0.02,0.02,Caret,2016-01
Chart.js,0.02,0.02,30875.019999994056,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.020000000004392136,0.02,0.02,0.02,0.02,0.02,0.02,Chart.js,2016-01
CodeIgniter,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,41.018382256204724,0.02,3839.6092494810437,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1431.6393943528703,0.02,0.02,0.02,0.02,0.02,0.02,22765.49919617029,0.02,731.6770770183442,0.02,0.02,394.0421814717286,94.65451923753645,0.02,0.02,0.02,0.02,0.02,0.02,CodeIgniter,2016-01
Dash,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,87399.01999996511,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Dash,2016-01
Decider,0.02,1581.49953841935,0.02,0.02,61.576840791421525,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,150.5014379209395,0.02,0.02,0.02,0.02,0.02,80.72635746866324,181.923433178497,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,38.69102979932707,217.22136242067631,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,Decider,2016-01
GD,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1404802.9622469172,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,81.07775245619698,0.02,GD,2016-01
GamePlay,79.08345225658758,0.02,0.02,0.02,0.02,48.55754860301092,403.35636636507314,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,80947.09117557472,0.02,0.02,0.02,0.02,64.0114571739719,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,GamePlay,2016-01
KomodoEdit,0.02,0.02,0.02,0.02,66.747927794968,2.8443153300650486,310.93051279637564,0.02,0.02,193.44432632471293,0.02,442.67208813889897,388.0738381219836,0.02,0.02,0.02,0.02,0.02,345.38290984674,0.02,0.02,0.02,0.02,18.572548118234597,221893.58785109257,0.02,0.02,0.02,0.02,0.02,0.02,0.02,167.09083431373688,0.02,0.02,0.02,166.01139881531645,1157.0076300930739,0.02,130.4055233253712,1.6751015294013505,0.02,716.6948765615857,0.02,174.17831768831286,0.02,0.02,0.02,0.02,0.02,KomodoEdit,2016-01
