,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
frappe-tags_2014-06,0.10000000277483362,0.10002005177602252,631.871751032937,0.10001751560678837,0.10000000279070952,0.10000000348144476,0.10001957600440818,2650.3281418742226,0.10002038626988619,0.10002955346778838,frappe,2014-06
frappe-tags_2012-01,0.10000000289950352,0.10001575858631004,0.10002190568734037,0.10001723565006786,0.10000000291418658,0.10000000361364646,0.10001847875502709,1694.0998879074016,0.10001974757447676,0.10001895655879574,frappe,2012-01
frappe-tags_2016-01,0.1000000019606123,0.10001026976156094,6839.0999014058925,0.10001259341523694,0.10000000196660211,0.10000000225379041,0.10001147822133044,0.10004197647154389,0.10001068821486592,0.10001158085153336,frappe,2016-01
frappe-tags_2013-06,0.10000000106830241,0.10000190688399077,0.10001726833699419,0.10000606725971,0.10000000106684899,0.10000000114308047,0.10000360727816619,3253.099962042498,0.10000302852236222,0.10000607568544824,frappe,2013-06
frappe-tags_2014-01,0.10000000136566264,0.1000041770393094,0.10003622749639063,0.1000071465850631,0.10000000136587404,0.10000000147888846,0.10000560816338595,2889.099936148072,0.10000517803189843,0.10000551011438731,frappe,2014-01
frappe-tags_2012-06,0.10000000054138956,0.10000038461393836,0.10001659095583366,0.10000263077533984,0.10000000054043318,0.10000000060350024,0.10000213606957284,1707.099971359733,0.10000222810150496,0.10000466799760761,frappe,2012-06
frappe-tags_2015-01,0.10000000170338068,0.10000739105784616,5599.721569229941,0.10000815597652826,0.10000000170847097,0.1000000019764472,0.10000941395435936,303.47838873716506,0.10000920040627649,0.10000786536801061,frappe,2015-01
frappe-tags_2015-06,0.10000000155758995,0.10000601495069203,6334.099926829716,0.10000778920412803,0.10000000155976448,0.10000000177733435,0.10000844608652887,0.10003500868603456,0.10000702246127535,0.10000888327382595,frappe,2015-06
frappe-tags_2013-01,0.10000000061550118,0.1000006981287453,0.10001504712738984,0.10000302498660471,0.10000000061453143,0.10000000066315608,0.10000210331108189,2989.0999736530466,0.10000190145205902,0.1000035699180765,frappe,2013-01
web2py-tags_2014-06,0.10000000747740481,0.100023425112556,0.10002440405236497,35839.09985150006,0.1000000074913097,0.10000000810782197,0.1000270914695267,0.10002766431667985,0.10002713090374166,0.10001874130806689,web2py,2014-06
web2py-tags_2012-01,0.10000000710664622,0.10002201461353544,0.10002154605364338,24838.099876983677,0.10000000711860223,0.10000000763147622,0.10002418968425686,0.10001875372786428,0.10002336132264851,0.10001311609348908,web2py,2012-01
web2py-tags_2016-01,0.10000000790224263,0.10002472308710673,0.10003264923657483,34455.58597751484,0.10000000791651055,0.10000000844397222,0.10002570050899792,0.10003023446249112,0.10002511161340802,13.613884021955576,web2py,2016-01
web2py-tags_2013-06,0.1000000075423987,0.10002374266754555,0.1000243837202674,34689.09985166109,0.10000000755667532,0.10000000817428466,0.10002774517580391,0.10002689539913161,0.10002705728396862,0.10001847214527543,web2py,2013-06
web2py-tags_2014-01,0.10000000745541894,0.10002321901927012,0.10002424465602519,35104.09984726459,0.10000000746920393,0.10000000809001838,0.10003213930480889,0.10002798237948037,0.10002717093517047,0.10001793685936454,web2py,2014-01
web2py-tags_2012-06,0.10000000702419573,0.10002216812372522,0.10002046096137095,27046.09986949708,0.10000000703758193,0.10000000766514681,0.10003013464156925,0.10001774561952252,0.10002627080329647,0.10001368708590601,web2py,2012-06
web2py-tags_2015-01,0.10000000755182689,0.1000240365588351,0.1000255861022858,36611.09984449367,0.10000000756719471,0.10000000824685386,0.10002865081372908,0.10002752666597706,0.10003064489525533,0.10001901761171843,web2py,2015-01
