,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,driver,bundl,column,preg,markdown,marker,redi,storag,memcach,asset,servic,flash,migrat,foundat,auth,pagin,abbr,relationship,strlen,task,interfac,newlin,trim,closur,home,segment,payload,connector,shortcut,foreign,boolean,singleton,autoload,formatt,paragraph,claus,alias,implod,alpha,free,func,encrypt,minut,cell,depth,sprintf,anchor,queue,abbrevi,simpli
topic#1,column,topic,person,migrat,zone,david,fixtur,respond,klass,reflect,destroy,dispatch,rubi,adapt,2005,month,compani,autoload,peopl,asset,belong,primari,categori,mailer,admin,task,transact,proc,i18n,ship,member,rack,datetim,foreign,draw,repli,human,buffer,precis,accessor,subscrib,thread,stub,book,middlewar,2006,sanit,blog,minut,concat
topic#2,dict,var,plugin,auth,datetim,row,python,tablenam,admin,thread,modul,adapt,storag,ticket,plural,socket,fieldnam,tupl,column,servic,task,disk,conn,flash,decim,cell,driver,io,pack,ctype,administr,upgrad,menu,button,widget,offset,buffer,person,export,total,registr,migrat,dictionari,repr,schedul,func,shell,role,interfac,lineno
topic#3,interfac,bundl,constraint,street,distribut,servic,transform,kernel,factori,listen,mock,metadata,formatt,sprintf,id,fixtur,dispatch,php,ident,ha,storag,children,fals,violat,role,foundat,dir,gmail,finder,matcher,tran,xml,strategi,boolean,serial,empti,widget,foo,yaml,csrf,selector,reflect,foobar,question,mask,offset,verbos,abstract,var,preg
topic#4,admin,datetim,articl,book,middlewar,dict,python,widget,backend,person,func,foreign,migrat,column,storag,decim,verbos,opt,serial,tupl,auth,month,headlin,categori,signal,2006,transact,aggreg,fixtur,lazi,primari,regress,citi,timezon,feed,csrf,slug,conf,doe,unittest,transform,thread,repr,annot,keyword,fals,digit,distanc,factori,recent
topic#5,articl,2007,plural,php,plugin,fixtur,appl,upper,2006,foundat,task,2005,fals,publish,multibyt,suit,capit,categori,ha,column,dispatch,lib,db,auth,shell,preg,primari,socket,contact,book,id,assoc,belong,strpo,admin,opensourc,redistribut,retain,inflector,singular,bake,foreign,scaffold,strtolow,pagin,var,latin,short,ident,2008
topic#6,mock,rack,prop,middlewar,compos,channel,proc,deleg,observ,opt,datum,respond,spec,halt,rest,var,mutat,mailer,etag,socket,backtrac,stage,teardown,simul,travers,agent,coll,superclass,foo,yield,rubi,endpoint,contact,caller,accessor,outer,boom,deliv,subscrib,env,schedul,dir,children,coffe,sidebar,unshift,tupl,concat,segment,errno
topic#7,plugin,articl,php,foundat,fals,mock,auth,shell,fixtur,task,column,book,retain,opensourc,redistribut,pagin,primari,network,dispatch,driver,exp,ha,reg,socket,belong,empti,inflector,foreign,plural,listen,assoc,contact,interfac,publish,2012,new,memcach,suit,theme,var,startup,checkbox,transport,month,preg,tear,widget,categori,timezon,constraint
topic#8,column,topic,person,fixtur,david,reflect,2005,plugin,respond,offset,transact,month,peopl,compani,zone,servic,klass,rubi,observ,adapt,proc,destroy,repli,accessor,segment,primari,belong,mailer,categori,migrat,flash,datetim,timezon,recipi,2004,reduc,dispatch,plural,mock,2003,2006,sanit,singular,foreign,admin,minut,children,member,mixin,selector
topic#9,fals,conn,driver,column,tab,preg,fieldnam,team,segment,guid,temp,technolog,row,newlin,alter,shall,role,warranti,month,opensourc,platform,free,categori,obtain,person,offset,protect,tran,2008,transact,commit,wide,newer,strlen,retval,sess,implod,backup,conf,restrict,permit,2014,portion,encrypt,cell,websit,smtp,strpo,2012,trim
