,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,dict,tablenam,python,ticket,fieldnam,tupl,widget,migrat,sock,pool,anim,menu,repr,registr,paper,queue,lineno,field1,administr,dictionari,mobil,power,life,logout,light,photo,fish,arg1,audio,prop,stat,codec,unpack,video,complex,shape,star,piec,credenti,markdown,latex,signal,schedul,card,impli,readlin,glob,scale,listen,acquir
topic#1,bundl,preg,markdown,redi,asset,migrat,foundat,british,2014,strlen,pagin,relationship,closur,payload,connector,implod,autoload,sprintf,claus,strpo,strtolow,explod,queue,ha,csrf,abbrevi,audio,excerpt,colon,bootstrap,db,jqueri,lifetim,def,video,convent,kilobyt,uri,contract,plural,wildcard,forg,mailer,forget,smtp,unshift,warranti,impli,bulk,interact
topic#2,rack,middlewar,deleg,proc,backtrac,etag,superclass,foo,rubi,schedul,boom,coffe,verb,enoent,markdown,12px,teardown,indiffer,textil,quux,tupl,env,20px,async,unshift,lineno,stage,mirror,weak,klass,mixin,kernel,chat,2616,14px,unbound,coupl,mutex,subpath,100px,monospac,hover,explan,ffffff,baseclass,reject,ping,audio,github,fashion
topic#3,topic,fixtur,david,php,2005,2007,migrat,plural,rubi,factori,foundat,klass,street,contact,bundl,proc,ha,book,listen,asset,mailer,singular,compani,kernel,multibyt,sprintf,rack,subscrib,yaml,children,autoload,middlewar,precis,i18n,finder,draw,human,capit,backend,preg,approv,selector,dict,widget,observ,2003,stub,inflector,2000,violat
topic#4,topic,fixtur,book,klass,david,plural,migrat,middlewar,php,2005,compani,factori,bundl,autoload,rubi,kernel,backend,asset,2007,mailer,dict,ha,sprintf,python,foundat,proc,stub,contact,singular,widget,precis,children,listen,approv,subscrib,yaml,street,writer,finder,csrf,inflector,signal,strategi,draw,headlin,digest,ship,abstract,foo,rack
topic#5,2007,fixtur,topic,plural,street,php,foundat,kernel,bundl,2005,factori,listen,sprintf,ha,david,capit,children,multibyt,asset,rubi,migrat,book,singular,contact,compani,mailer,strpo,subscrib,klass,violat,preg,short,inflector,assoc,proc,foo,yaml,precis,finder,db,redistribut,opensourc,selector,strtolow,pagin,widget,stub,2010,currenc,digest
topic#6,bundl,street,kernel,factori,listen,sprintf,fixtur,php,ha,children,violat,foundat,gmail,finder,matcher,tran,strategi,widget,foo,yaml,csrf,selector,mask,abstract,preg,scalar,annot,prop,bar,sibl,max,stub,dom,collector,offic,tester,std,uri,currenc,closur,strpo,progress,strlen,bridg,audit,hierarchi,subscrib,extractor,alia,mapper
topic#7,book,middlewar,dict,python,widget,backend,migrat,tupl,headlin,signal,lazi,fixtur,regress,citi,csrf,slug,conf,unittest,repr,annot,distanc,factori,dictionari,editor,perm,pagin,oracl,birthday,writer,bit,countri,num,builtin,klass,maxlength,ref,smart,unless,obj,plural,ip,2005,2010,runner,ring,dimens,togeth,mixin,natur,i18n
topic#8,preg,team,opensourc,tran,newer,strlen,retval,implod,sess,prep,nbsp,strpo,smtp,forg,filepath,migrat,strtolow,explod,csrf,autoload,bundl,claus,batch,axi,speed,unsign,mobil,val,assoc,calendar,skeleton,cipher,audio,benchmark,mssql,fieldset,new,job,robot,let,strtoupper,2014,2013,unwrap,angl,shadow,backtrac,postgr,boundari,sprintf
topic#9,fixtur,php,bundl,kernel,street,listen,factori,plural,sprintf,2007,ha,2005,topic,foundat,children,migrat,klass,preg,capit,widget,dict,book,strpo,foo,multibyt,violat,contact,selector,asset,middlewar,gmail,stub,tran,finder,autoload,singular,david,matcher,inflector,yaml,redistribut,rubi,compani,mask,pagin,annot,db,proc,csrf,abstract
