,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,datetim,articl,python,middlewar,book,func,backend,foreign,decim,tupl,opt,verbos,inlin,person,migrat,signal,lazi,aggreg,2006,month,citi,dictionari,feed,categori,conf,keyword,upload,recent,transform,timezon,column,layer,primari,digit,ticket,annot,factori,distanc,router,defer,fixtur,stdout,editor,perm,pagin,oracl,builtin,publish,bit,num
topic#1,bean,factori,annot,web,basi,unless,complianc,agre,govern,impli,warranti,listen,sql,2002,persist,invoc,synchron,editor,abstract,statement,illeg,processor,ha,writer,schedul,descriptor,aspect,awar,executor,deleg,new,matcher,metadata,destin,convers,uri,row,qualifi,rollback,accessor,export,async,concurr,thrown,callabl,column,person,suppress,transform,creator
topic#2,mapper,aggreg,transport,hit,stat,factori,snapshot,analyz,listen,new,alloc,int,score,impli,basi,unless,agre,warranti,govern,complianc,contributor,regard,agreement,matcher,long,num,max,suggest,pool,master,repositori,illeg,plugin,analysi,metadata,pipelin,primari,ha,channel,min,highlight,ref,distanc,bulk,abstract,segment,processor,concurr,writer,milli
topic#3,deploy,contributor,warranti,foundat,factori,bean,home,archiv,impli,fit,merchant,publish,redistribut,hope,floor,fifth,persist,annot,web,pool,writer,listen,registr,connector,timer,role,transform,abstract,queue,impl,ha,marshal,processor,endpoint,invoc,2011,illeg,metadata,spec,executor,batch,bundl,channel,phase,concurr,new,namespac,prop,descriptor,packag
topic#4,listen,room,meet,button,warranti,audio,big,blue,payload,codec,foundat,publish,contact,impli,ha,dialog,fit,merchant,factori,hope,redistribut,video,profil,conn,vector,descriptor,channel,new,screen,num,conf,2010,agent,gain,consum,sender,poll,fragment,int,intent,resp,bit,transport,annot,subscrib,pre,broadcast,scale,pipe,max
topic#5,column,person,topic,migrat,zone,month,fixtur,david,driver,bool,klass,categori,2005,primari,compani,peopl,rubi,row,conn,statement,segment,upload,proc,asset,plugin,accessor,flash,repli,team,guid,font,datetim,foreign,minut,2008,newlin,dirnam,precis,sql,sanit,2006,profil,commit,plural,day,alter,mysql,human,singular,var
topic#6,bundl,street,transform,kernel,factori,listen,metadata,formatt,fixtur,profil,ha,children,violat,foundat,role,finder,gmail,matcher,tran,bool,namespac,strategi,foo,selector,foobar,mask,question,verbos,var,abstract,scalar,timezon,prop,button,annot,bar,stub,max,sibl,collector,column,grant,accessor,offic,std,tester,uri,closur,upload,alias
topic#7,articl,plugin,2007,plural,foundat,fixtur,router,doctyp,column,shell,publish,appl,ha,2006,categori,2005,primari,book,var,redistribut,capit,pagin,contact,lib,foreign,db,singular,conn,datetim,network,month,theme,short,reg,tab,2012,bool,latin,2008,startup,exp,statement,children,driver,role,ajax,flash,diff,asset,day
topic#8,column,row,metadata,compact,slice,struct,endpoint,cell,mutat,factori,new,long,descriptor,inet,abstract,statement,uuid,unless,impli,agreement,agre,warranti,contributor,regard,basi,complianc,govern,foundat,ha,int,strategi,max,def,primari,writer,transport,hint,concurr,commit,interv,tupl,ks,alloc,disk,digest,super,predic,deseri,segment,executor
topic#9,channel,codec,new,factori,max,ssl,listen,pipelin,alloc,basi,warranti,impli,unless,agre,int,govern,complianc,chunk,executor,queue,bootstrap,writer,web,concurr,long,inet,pool,illeg,abstract,short,writabl,payload,ha,pend,bit,flow,shutdown,leak,2012,unsaf,zlib,sock,certif,composit,ref,num,sync,cert,transfer,unsign
