,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,32310.42030898955,27705.66438571942,24386.8747971658,17822.77854792574,16892.293521172352,16828.608040533174,16818.04789853696,14064.065173344477,12840.63120063515,12509.731454099521,11832.920368693736,11364.673352948266,10552.281572681737,9936.620936618563,9276.761367602823,9133.912813141975,8856.414542057448,8136.038539460705,7646.076478295996,7418.702616344481,6921.298122506736,6530.212029529596,6497.978425758839,6318.987102582106,5988.123925689202,5940.086682227567,5930.391677408848,5925.757311782054,5867.586677812025,5727.227039560861,5429.841264314783,5377.488631486491,5238.706246027775,5133.922011458293,5118.393949741535,5103.179174503651,5054.674494837168,4996.081639765669,4958.942390573706,4896.464663115716,4785.675567674796,4774.071707956445,4763.756315156345,4747.536498791986,4573.413674716655,4432.255531480255,4426.291892347978,4273.8645542360755,4269.665009428788,4253.894939474417
topic#1,139039.60348651418,26847.10946752642,25532.009130021197,23047.309527154765,21236.403862387528,20769.082700228555,20357.707325151692,19934.126055097284,19442.238066765553,17386.038853399496,17317.89037409222,16527.044505979757,15513.751398128097,15121.323062462101,14299.630874026174,14189.006645017445,13197.451240532164,13107.227094267004,12639.16569199237,12550.631319615448,12242.589064765976,12199.080936934894,11787.577686504046,11346.014678213756,11273.063628194774,10870.057552317177,10606.107091294083,10435.847201601619,10180.06806487756,9813.922292467874,9391.263325965905,9365.089565440248,9334.585899567403,9258.431721991687,9155.823861329221,8700.583512620506,8655.578069211133,8586.33205960477,8569.605754708638,8142.998155785021,8021.703674797603,7930.184560242485,7860.033028288994,7632.780384872796,7586.445052742749,7447.554312201295,7313.373976968832,7277.435506548807,7265.200148973828,7189.618581971154
topic#2,36154.41140479637,25123.91073463749,24704.653579972895,23350.51806425269,23173.70349383655,22979.15959518114,21566.457988612023,20802.41939442328,20669.745182463448,20484.17384746997,18998.888314368527,18784.814646079878,18331.464737234623,18215.040197455735,17708.71209122658,17700.727135739096,17656.822484012948,17470.39145809148,17195.45540801297,16687.574148165684,16624.783586026333,15965.338717619647,15889.064299042844,15881.944933804516,14852.522106672608,14452.255894226806,14443.161057320403,13652.218140665093,12990.1539161781,12462.822865969405,12065.581468197073,12029.87611890954,11937.410796343098,11936.436629911268,11906.544718086325,11764.405127713895,11620.977100282458,11605.464818544771,11580.775496570128,11461.788196876572,11003.760452928787,10808.943926942915,10778.7555444671,10777.920160863992,10511.32936428692,10295.386621039119,9973.144415094426,9602.553101016336,9484.832906404758,9451.148185754011
topic#3,21487.555879864383,19276.40784536658,15221.413827262062,13977.524021458885,13942.937163499628,13544.487964376152,10901.674699868965,10783.08207663578,10226.565902785696,10107.636202668209,10001.326144310582,9606.625398035796,9072.876851288856,8959.044681351887,8672.963109044018,8522.24617075455,8492.965682509428,8353.975857772588,7907.830528994732,7888.40564793748,7709.885458289868,7594.203366126604,7343.589550769572,7316.224423371867,7186.801452416089,7067.8237381899535,7058.201714000226,7004.916769690771,6905.897541913928,6885.685996033261,6809.136344947813,6729.478403904079,6649.712609854872,6535.567898554653,6483.234179342954,6330.471312168734,6315.146248506131,6237.336859252304,6212.971900237104,6126.204090493954,6090.426668344858,6037.026973580681,6021.444599436632,5883.714123448734,5875.001317111834,5570.536745713536,5549.93404612612,5472.800104207861,5440.489847334006,5431.862125327596
topic#4,54823.85377062156,48867.55900031678,42057.509127626945,34153.946820401994,21076.605058821602,17029.42125009158,16680.054674063696,15818.924163020956,15019.542735529109,14455.423448105576,14188.709832463344,14053.203709252068,12804.66921880099,12768.950064684497,12162.474362120267,11379.936748979699,10578.263279158802,10309.271649468516,10156.219215306659,9891.722602348957,9784.414432409727,9522.357380590747,8716.163552547941,8269.571207225563,8267.216690903831,8107.184990428141,7718.512685838954,7691.926060689599,7676.584011349127,7652.119485980051,7512.739880643972,7287.304358033813,7020.756295927863,6838.91613418179,6670.84009908226,6607.3491132640675,6465.847392091867,6451.591470675303,6418.720439462249,6378.741044677979,6378.376018254539,6333.467723617406,6293.290480477309,6209.589005969301,6069.560871097939,6024.437219828934,5970.704510505571,5909.81064838737,5845.446632819291,5834.503304921026
topic#5,29544.762842380744,20395.377316379247,16821.36076815788,16487.25180052292,16272.25041187372,14009.68859228096,12714.766029515862,10941.510349479207,9712.719763245354,8693.126022397895,7869.7567608962145,7487.893406182678,7223.5327351680535,7201.9732229071915,7015.5044565396,6605.484817922235,6481.857449789592,6439.226682922328,6251.538478942832,6095.151898957906,6014.223401515463,5639.828703911233,5608.616638942572,5574.466092275216,5370.8064982928745,5183.657973201859,5065.808336653702,5018.206355702121,4926.429771770872,4923.477682672891,4838.282717780378,4749.36885534626,4568.308346648475,4539.412163671104,4523.150930195156,4425.008122788557,4354.554160742812,4290.04282384251,4257.578502358902,4160.18060535229,4121.629792162186,4065.5071837756527,4045.670133711412,4034.152714612827,3937.1021955134524,3893.7443344875937,3890.093743078333,3872.8092027350112,3823.230516259683,3812.761438909014
topic#6,2003865.1956861906,710378.2663083316,469451.80413327785,292630.72187689773,291526.59224497573,163772.48701397382,61928.43459593505,46188.180657012366,13191.706700839199,12813.951121166456,11857.671214500067,11015.698301479886,10973.156524515645,10339.779117729733,9706.261574966082,8823.793437702725,8321.017563366153,7638.231271631978,7487.845452025452,7098.696639641076,6845.605778284949,5933.779553728189,5822.3897597358,5628.599928623308,5597.845546683305,5446.953372924869,5225.464880706256,5034.65496885291,5029.498616930815,4917.123202767969,4755.031273723663,4716.736744880443,4489.333348503461,4451.977446359966,4125.898672632465,4083.8094172761257,3942.1354073711545,3623.861166875493,3622.100630183182,3480.047162699784,3466.1309245101047,3389.5767225635404,3242.903117729818,3226.2003526826275,3194.9043939412018,3154.1161977634647,3127.511731875198,3126.155158888528,3123.474150366969,3073.3343759333934
topic#7,115561.88363353431,56342.17603309361,51821.37791544667,37073.853132884185,32779.966897104,29098.1775696002,28625.42414530044,27415.09348829648,27349.88242563065,25882.8902504264,25768.325718605072,25440.36170036722,23693.075149087323,23126.30989917167,22291.909489471345,21184.048473868814,20524.552770974613,20294.740470889436,20245.383141298316,20029.658191551232,19350.564075995662,18078.817049280195,17724.005056007118,17030.209845314115,16766.197753290788,16286.857392617196,15937.497947138367,15192.962461756742,12899.539723526395,12387.704863304405,12219.63275798638,12009.693797232792,11588.696160270898,11401.84359654697,11352.922881784807,11306.455086067783,11238.991925854265,10944.795963458815,10900.377864504368,10799.025639486574,10662.023811409043,10309.101104627707,10260.961101834477,10243.841715798066,10232.99096994143,10183.611852393335,10122.493332757223,10058.407339393609,9966.900366176842,9939.723062203067
topic#8,32434.550644325962,20495.073783017637,20015.321724292542,15257.381701307026,14275.750774848191,13258.932978265524,11916.996045285458,11542.299634475987,11535.416375146006,11312.010441615672,11235.018040424688,10612.653038642173,10578.175804963714,10431.797246756092,9231.273335705062,8668.665113719244,8198.18144132186,8158.367854658418,8099.139548163023,8067.357816860775,8037.8465832855445,7942.024349471068,7591.709305944865,7505.546506793263,7322.480214988716,7308.800601484463,7275.2130185868655,7262.58228582924,7077.505822643357,6940.8803445746225,6912.681608385116,6722.006187461832,6713.0154775277915,6557.534448903091,6507.958646056854,6491.010178000663,6468.286856104133,6465.102268725919,6321.452658691585,6217.75398789256,6129.211563716216,5897.655244642591,5875.1738959653785,5737.644081905279,5727.26913727582,5636.370124033775,5564.047083485019,5291.344034753429,5101.816418567699,5043.964622888472
topic#9,37521.42535960141,29845.468616144924,28402.089438207942,26409.356264931637,21477.91620783284,21038.98852345378,21035.894720258562,19192.99383144527,17252.514391471952,16187.043875619853,14988.87928533683,14746.295581103923,14502.835465646802,14013.400147289307,13882.267541293171,13165.30616431356,12407.772655943249,12095.74282587942,11562.508900200039,11546.92021786961,11206.156562806113,11138.172568042331,11098.341582483581,10652.77358584369,10397.252754806948,10159.172799340764,10143.050848512687,9411.474256849007,9365.810813103795,9131.826094859833,8765.776812847922,8123.144343122305,8121.449952170985,7686.810637432388,7675.579274379137,7579.321193929496,7575.178394572778,7204.480232058428,6992.204459729074,6699.2610443822105,6533.741874302755,6332.844886540687,6292.683596266955,6260.023763727265,6239.472380445316,6117.274651411366,6100.2625375160405,5961.493631135226,5956.848498092115,5899.91553528902
