,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,government,space,gun,law,state,new,national,states,president,control,use,american,1993,research,people,university,years,public,program,000,april,health,guns,united,center,year,military,crime,federal,police,congress,nasa,weapons,earth,rights,administration,launch,press,clinton,war,information,house,court,number,high,enforcement,general,firearms,washington,political
topic#1,god,people,jesus,believe,does,israel,life,jews,bible,christian,say,church,faith,religion,christians,world,law,christ,true,human,truth,did,man,just,israeli,way,jewish,think,right,fact,time,word,know,religious,like,things,make,said,come,person,don,death,belief,love,good,christianity,john,point,peace,hell
topic#2,ax,max,g9v,b8f,a86,pl,145,1d9,34u,0t,1t,bhj,3t,75u,giz,2di,2tm,wm,7ey,bxn,0d,sl,9v,6ei,gk,34,d9,45,04,7u,ah,14,mr,75,chz,au,bh,cx,lk,st,air,25,86,ma,18,mb,hi,80,ms,hp
topic#3,00,10,11,15,25,12,20,17,14,16,13,24,18,50,30,19,27,21,55,40,23,22,26,cx,35,28,34,period,31,45,32,29,33,37,w7,93,vs,02,la,75,60,38,pp,36,44,42,80,01,43,pts
topic#4,drive,card,scsi,db,disk,bit,thanks,mac,use,pc,hard,video,memory,does,drives,apple,monitor,new,bus,used,ram,price,controller,speed,computer,sale,drivers,software,board,16,driver,data,problem,mode,serial,cards,mail,need,cable,cd,know,modem,offer,shipping,tape,floppy,ibm,port,ide,hardware
topic#5,don,know,think,people,does,mr,question,just,like,say,did,read,time,point,post,believe,way,book,article,said,going,evidence,ve,group,case,want,questions,sure,stephanopoulos,mean,argument,answer,make,actually,different,possible,true,yes,fact,given,science,posting,probably,right,claim,example,good,ask,really,discussion
topic#6,edu,key,com,mail,information,encryption,send,chip,available,internet,keys,data,list,phone,clipper,email,computer,use,public,anonymous,message,privacy,cs,ftp,faq,pub,ca,security,access,address,number,algorithm,uk,gov,fax,contact,des,new,technology,secure,request,ac,systems,university,news,org,usenet,escrow,users,sci
topic#7,just,like,don,good,know,think,ve,time,people,really,want,make,way,ll,going,car,right,better,work,need,little,use,thing,things,got,say,lot,problem,sure,doesn,probably,maybe,used,does,look,long,years,new,didn,did,big,getting,let,course,tell,bad,isn,old,actually,come
topic#8,game,said,team,year,armenian,games,armenians,people,turkish,season,play,went,did,hockey,players,didn,league,came,home,got,left,win,years,saw,turkey,time,city,player,teams,new,started,took,killed,nhl,women,greek,armenia,right,hit,turks,told,let,second,night,away,points,best,division,shot,great
topic#9,file,windows,program,use,window,files,image,version,using,available,code,dos,graphics,output,software,display,set,server,application,thanks,entry,does,ftp,color,information,source,motif,line,info,programs,widget,package,sun,help,screen,like,ms,running,format,problem,data,run,user,images,include,based,edu,mit,need,directory
