,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,ninja,preg,servlet,elli,lab,basepath,impl,opensourc,strlen,injector,filesourc,complianc,agre,govern,implod,strpo,xmlrpc,junit,prep,annot,subpackag,forg,extractor,userdata,strtolow,odbc,cart,markdown,apppath,metric,smiley,async,redi,orderbi,mcrypt,technolog,institut,british,columbia,2015,batch,lifecycl,retent,fluent,schedul,cipher,mobil,assoc,skeleton,benchmark
freq#0,17318.428060899936,5821.319873471741,5558.655994416159,5239.246202582435,4794.56954474669,3155.130791216139,2688.6679908622045,2452.15538811481,2386.618240344797,2381.187849133276,2286.2424887227053,2154.56097074407,2150.8606464033355,2149.975180266862,2084.511924056145,1693.3649926487765,1513.035793113573,1509.0061080352364,1470.3176898179827,1463.3780748742965,1427.7805599068665,1381.9570905094624,1318.8627164837524,1292.3982813612367,1291.331334289111,1241.0391470761901,1220.014049059929,1213.6297994661202,1202.4391857640705,1193.048559581845,1189.3643728637107,1175.0917993516293,1137.4316594992624,1086.3604583211077,996.5056035279434,958.9215272023205,954.4169193352016,944.298135805062,944.1878362801602,939.1019378767801,911.9325871732423,903.9707144779927,825.0443768094547,775.3955151209385,772.5085809697027,755.7372203807322,739.0791686421929,705.1617758819307,664.3232621627112,647.4976063618116
topic#1,cake,php,foundat,md,aw,multibyt,opensourc,redistribut,preg,assoc,inflector,strpo,rapid,subpackag,bake,strtolow,scaffold,exp,sprintf,startup,mariano,ig,datasourc,js,mg,strlen,strtoupper,acl,coverag,greek,implod,ci,needl,zx,uuid,haystack,tmp,l10n,slug,subcommand,trac,mj,widget,1196,rl,mt,lastmodifi,qo,filesourc,ax
freq#1,139503.90412152704,32882.263668704625,18874.724742116403,11733.3916016066,10263.049185752798,9443.122062353968,9301.247986242695,9295.57134879679,8331.40608288091,7895.462842277392,7649.621476710495,6631.039650502732,6124.864177673478,5970.824020685167,5828.305990567049,5300.332440138113,4704.022694076373,4134.046257996325,3899.065862643668,3608.8512432844104,3473.323653135755,3261.58243046178,3248.1713513029536,3202.067052027629,3078.793663462704,2901.836618346669,2851.8416667846905,2693.470814740853,2644.0456750840403,2523.918431208527,2328.647681741467,2266.4335742732214,2232.8767405667745,2171.9839198217655,2156.2674365127327,2098.3550785015655,2037.8625547565823,1915.7284376853434,1903.4399564110588,1900.592346585298,1898.626000114957,1891.7069591132297,1821.9901929605398,1803.0218244293449,1751.3517253947768,1733.1917338862347,1709.6833850794812,1693.6624429034305,1673.9065855935132,1669.9909323593822
topic#2,symfoni,django,kwarg,street,widget,dict,kernel,contrib,python,geo,geometri,isinst,sprintf,headlin,php,annot,twig,intl,foundat,getattr,spatial,bag,doctrin,regress,hasattr,traceback,acl,dumper,slug,xpath,yaml,crawler,repr,unittest,distanc,improperli,restaur,polygon,birthday,ref,sitemap,preg,pickl,expr,capi,coord,dom,wizard,band,startswith
freq#2,197210.0858539088,120798.61403617627,39674.56512246008,28456.439879553804,27367.566162184958,25414.680228156118,25001.894358330544,24067.70648448524,23972.912409152294,23937.697789296624,22557.854539331383,16230.107652688544,15628.978802985,11586.099199849014,11535.226760093376,10731.458863335807,10466.732161727663,9707.451408694043,9614.911099558403,9272.104352004138,8878.333099945537,8720.498292910956,8599.883916519222,8455.894633441208,8362.199758084154,8225.850116158568,8034.994671038146,7631.005727645363,7284.10196392164,7195.667461725948,7027.705911353806,7000.945979723025,6588.943075962205,6491.3130847037155,6256.25279837781,6029.500121159219,5535.580737156655,5372.428107539089,5090.224441648659,4940.4341748321185,4823.74464266482,4776.481657094689,4564.863354864141,4462.162027007919,4451.490354946941,4359.03352949715,4295.778187650035,4279.144643425678,4266.9681223353955,4252.555762259402
topic#3,lesser,foundat,bean,subsystem,javax,boss,servlet,redistribut,boston,1301,cluster,interceptor,annot,junit,connector,impl,executor,batch,phase,jm,op,statist,shrink,polici,schedul,jdbc,stateless,princip,injector,vault,hibern,kernel,realm,ee,passiv,datasourc,jar,ref,manifest,xa,bridg,corba,plan,metric,enum,throwabl,tx,wsdl,def,stuart
freq#3,376714.8341832949,250514.78059372876,233152.00833143544,209167.6683727065,194433.21337606868,152816.276451665,131238.2698034116,126227.36493902466,125752.21110608523,125733.01237962661,121911.99562221738,120442.15814111626,113656.2038503634,84627.02008617128,72047.9801014358,54989.79512002124,46213.366172962604,45065.77432261149,42745.217274009294,41978.82517874492,38034.41590993421,37747.73624585372,35635.59218816531,35287.83566479627,30582.970122992847,30277.669048071453,28823.278176351338,28756.8002781003,28340.03228920191,26163.504268616925,26009.41550646957,24840.746631283455,24736.673029058526,24383.983966248128,24124.216967979224,23864.343710695277,23085.878445637838,22931.134995005297,22480.5605138941,21639.01838487786,20965.85526520783,20673.658149691815,20562.434496165788,20278.775647238108,19960.817315318163,19751.219273524654,19369.109369696263,18059.234991387348,16716.68279652468,16711.174958593896
topic#4,firm,nodoc,rail,david,gsub,street,yaml,silenc,inflect,civil,jami,credit,soap,2015,inflector,salari,polymorph,benchmark,rubyonrail,1991,asia,america,eager,downcas,draw,1992,1945,scaffold,breakpoint,gem,1998,cattr,1990,tzinfo,remind,matz,scanner,guard,1989,codepoint,macro,europ,activerecord,1988,1996,entrant,1983,1987,fname,1997
freq#4,10004.45133531999,7671.6711970463275,7236.107803732404,6517.252722089799,1913.7973766595653,1493.9693423167625,1456.4691890449092,1296.56734367405,1278.154751836135,1255.2373502312184,1238.7117918234803,1209.6781058358108,1135.5143064103918,1064.3717005738495,1054.5920737943313,1041.7278970404182,1013.1655349113009,989.7756364295153,985.0573996954406,943.478104904581,914.6409815071961,910.2395487212814,870.1772611704855,858.2903980705021,837.9183953961549,806.7428369235198,800.2003501681822,798.108299657875,797.2070081816785,770.3307460819684,763.3726207982417,755.7018617055164,729.7101594063349,727.8634276060701,723.5808081125191,719.2949824546947,718.5424014394969,682.8899640832557,679.4121091299462,678.9910250797105,676.088101859638,667.2164058665476,666.2579883113625,661.6873128541562,653.206710601884,643.6643555498227,642.7498284242346,640.9296949111472,629.8931440824365,619.9452078671345
