,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,word33,word34,word35,word36,word37,word38,word39,word40,word41,word42,word43,word44,word45,word46,word47,word48,word49
topic#0,cake,licens,articl,plugin,true,php,foundat,softwar,fals,associ,fixtur,task,properti,translat,mock,shell,auth,router,rule,book,2007,plural,column,pagin,notic,retain,opensourc,redistribut,ha,primari,dispatch,publish,socket,behavior,project,record,reg,belong,contact,rapid,exp,network,token,categori,foreign,driver,bool,list,inflector,bake
freq#0,87115.36907172806,41884.65099660816,26243.705866706518,25702.01309611108,20782.57536221201,18853.31234166194,11461.975809990057,11261.13481941263,10503.788117287419,10215.228281486448,9763.474580670187,9527.940920814715,9464.2330452542,9377.080333574282,8905.670524793577,7928.39450020105,7900.226688895458,7682.08026363884,7451.204293826437,7297.734154074146,6697.6482861690565,6622.243562110344,6330.101361833814,6252.742341829738,6211.995525949406,5696.7586545661925,5673.407272683223,5671.37294709597,5661.484726772747,5540.877883150218,5526.040353126489,5042.622307242841,4930.032158416722,4846.234272352165,4768.877383215402,4645.181668519353,4358.659208676124,4241.842197722593,4216.569583946474,4155.990257067704,4057.5795629603617,4044.812802071211,4025.0777283582593,3976.5110496375128,3965.2274629036488,3837.517086055098,3825.3214518960203,3773.6363892593226,3771.001655617378,3440.3907127490124
topic#1,record,column,topic,transit,associ,person,rail,firm,zone,migrat,fixtur,david,account,nodoc,project,reflect,respond,2005,klass,month,rubi,compani,destroy,peopl,adapt,dispatch,transact,belong,primari,autoload,mailer,categori,asset,written,proc,child,admin,node,offset,repli,accessor,datetim,task,member,foreign,plugin,word,hour,token,flash
freq#1,92550.38379420043,51966.156621913484,46488.953984601845,41862.66437066631,38538.063523789635,37551.17678388562,32712.34207792771,29414.90663786342,22138.417485220725,21047.463444390574,21013.314945622144,20792.595765571477,19637.72522898636,19362.202071842064,18905.283669294036,18381.699611666907,16673.133722342485,15915.832533727487,15559.503940905815,14844.705970019866,14712.682391018894,14561.8893180851,14438.233483688393,14262.226140710365,14058.919963470536,13116.8376634003,11928.302811493064,11472.749132962479,11344.111407631963,11134.229741321073,11133.769247256481,10957.392663635563,10218.060770935683,10197.798638243132,10082.706919563498,9388.77696241746,9345.564518254741,9012.837331472138,8949.463359341333,8923.390885707722,8582.723436425478,8388.0257569192,8032.299712368431,7767.892014388961,7688.047516407757,7564.356825366031,7003.802796995045,6870.36573499898,6785.957184117851,6764.711449568422
topic#2,symfoni,interfac,licens,node,token,properti,bundl,choic,constraint,street,distribut,servic,transform,kernel,factori,listen,resolv,mock,metadata,formatt,sprintf,true,id,child,fixtur,translat,dispatch,php,ident,profil,storag,ha,children,fals,twig,violat,foundat,intl,role,dir,bag,doctrin,gmail,finder,constructor,acl,matcher,tran,list,bool
freq#2,197211.1995393578,70192.33263009215,58530.225093880974,42771.560430278114,39556.35011806826,39407.11261376022,32778.085730334424,30116.147641971387,28373.80960040149,28267.774908634947,28213.867585828302,27869.46301221604,26354.696043301214,25026.174063590664,23677.64824119152,20380.712087760556,18221.02366325582,18060.06191171781,17254.577023774433,16573.310398037753,15823.718882213405,14250.3382120747,14195.64503769166,13995.796837485708,13593.415915542684,13336.719702859997,13262.987846571532,12122.13467767185,11733.884230212447,11676.549562380857,11629.53830301197,11490.75233696294,11275.573495757604,10629.917360902318,10467.91874797633,10190.807194103401,9802.679351617257,9719.865788857407,9549.47545445057,9001.873819800885,8717.47089946175,8603.370786325382,8384.833762527676,8264.36502778627,8138.440026672571,8069.959254412662,8033.48567008922,7859.200235987083,7790.38105609255,7628.021401761294
topic#3,django,admin,datetim,articl,kwarg,dict,choic,unicod,book,middlewar,python,contrib,lookup,geo,widget,geometri,extra,person,isinst,backend,column,storag,foreign,func,decim,migrat,node,token,oper,verbos,cursor,opt,languag,media,translat,inlin,auth,tupl,serial,month,permiss,properti,true,report,child,headlin,getattr,list,transact,categori
freq#3,120831.06356622574,75543.45309010806,54570.50858975466,45220.65486890327,43430.745533894085,39543.16006678609,37325.149689695965,34070.16761951912,29804.656622617684,28542.11681659615,28535.481538269876,25837.274306055566,24247.486430702204,24110.847283749383,23456.596375089823,22780.393310436317,22048.21578740081,22032.167704031985,21924.133329103435,21049.102353847284,20442.43846706551,20243.327331972978,20018.684304641953,19051.824480167783,18709.089784191434,18185.151644714424,18137.618599065478,17599.92700626735,17079.7400050643,16619.71280975151,16450.405498651875,16253.485898434887,15792.660073372792,15703.241610125753,15447.824908953633,15443.325062076678,14820.472010962516,14507.877561556666,13721.551037910225,13318.692932826394,12733.129724492072,12426.51864550784,12375.044544822009,12011.499551778948,11735.885491455636,11608.811973922244,11336.618977043605,11319.54132462623,10908.187176062956,10860.59958214828
topic#4,licens,fals,softwar,ninja,true,conn,lang,permiss,properti,driver,bool,fieldnam,languag,column,tab,preg,elli,obtain,apach,lab,notic,subject,charact,upload,warranti,role,technolog,team,segment,deal,mock,profil,row,temp,basepath,guid,2012,shall,newlin,conf,person,flash,distribut,unabl,free,impli,alter,articl,month,platform
freq#4,37903.970611120756,19863.398096668076,18319.255353711,17318.89408979317,16572.57810456715,12683.809530585468,11392.812567488123,9604.9662680039,8011.769643189811,7985.907074229348,7915.070300762365,7616.938832852807,7505.690839774688,7368.656950685256,6533.367873831206,5339.9656017769,5292.861830858514,4957.048506232843,4823.29224767727,4817.285621975372,4742.301956107174,4588.133706071676,4585.91387219364,4373.309399740853,4200.278492603628,4027.0501476864347,3810.6536978777626,3806.122149316342,3696.434501193999,3639.4489504737585,3547.398765192897,3537.3760739736385,3478.904088498577,3421.3576236934377,3413.3441406788047,3407.4098383735504,3403.3918459292295,3368.15789249547,3363.3049475139273,3318.851185786982,3287.05495241412,3034.7434924058966,3025.56630497509,3005.5664372322162,2976.414942021159,2854.6590105867226,2848.6715622092315,2818.1929547300488,2766.1413937599295,2609.528105446783
topic#5,deploy,node,oper,servic,descript,contributor,softwar,home,lesser,licens,list,foundat,subsystem,boss,java,fifth,redistribut,boston,publish,free,cluster,archiv,resolv,xml,properti,term,thread,pool,modul,role,registr,transact,hope,transform,1301,socket,distribut,factori,floor,receiv,warranti,step,child,persist,web,writer,marshal,bean,repositori,ha
freq#5,375437.8129455184,234407.72945234558,211714.11069022192,166680.86853527717,150954.70469514737,125772.78281237214,111714.93761474545,97776.55169922656,96220.64895401527,92202.55264425733,85246.12358461837,77829.21763159112,65632.33568277746,64363.61765075565,64210.4473410253,62203.17699220366,58055.67232176197,54591.476597484245,53912.38521661378,52705.27952497675,51872.65479601083,50433.574682613034,49022.70147712742,48635.31830689691,48264.825036072834,47025.97158835806,43007.71821174718,41544.6722164159,41541.2679677792,41102.13125390417,40566.38544292331,39479.14594667524,38780.91305057305,38375.43064209166,37238.69580084122,36203.30465686118,35412.215325168756,34868.15416604322,34150.97339063352,32820.54893576753,32624.80193949071,31591.39556431272,31294.152299020832,29847.970483616795,27871.71369749488,26766.707143739877,26223.662331161882,26120.883303451163,25822.656381338613,24890.42405836539
topic#6,cake,true,articl,licens,2007,plural,translat,php,plugin,md,aw,lower,upper,appl,letter,multibyt,capit,2006,fixtur,suit,2005,router,foundat,softwar,lib,descript,associ,fals,publish,properti,column,categori,everyth,ha,subpackag,dispatch,db,node,task,preg,project,id,primari,auth,languag,assoc,strpo,ident,shell,latin
freq#6,52411.63791076394,26433.253296259023,20963.455378605722,20025.77531158577,19023.612264007264,16844.381086635978,16738.888676937124,13454.462844535434,11983.186075009311,11565.372628823246,10290.036648682079,9970.372808390362,9786.015535165248,9399.798888707917,8689.65693097118,8528.46898046369,8241.415884794815,8222.037828473247,8058.142841575344,7658.843774961646,7556.669189318518,7241.243616623202,7208.08113695505,7188.278069258726,7141.890463103599,6946.6040798554395,6759.786661765641,6699.5954817450765,6633.52998143877,6578.767224572748,6528.83261852869,6382.9656392483785,6215.750853479374,6096.654915966706,5945.188997674657,5937.3225944817705,5932.858290753193,5424.045280682877,5358.878350826965,5149.130193926576,4766.898793103402,4577.972384881117,4548.283141507664,4542.440725849535,4463.0452753665895,4422.254205906466,4267.795736177585,4085.75298765911,4004.8032919874777,4002.186148056357
topic#7,mock,lotu,rack,middlewar,proc,respond,spec,opt,asset,halt,deleg,frame,sass,inlin,rubi,haml,router,mailer,coffe,adapt,pathnam,book,mutat,freez,gsub,minitest,dashboard,expand,overload,boom,scheme,upcas,fixtur,rdoc,slim,rest,lookup,verb,stage,var,simul,polici,repositori,gem,protect,enoent,architectur,yield,wrong,accessor
freq#7,3864.5830031219684,3318.2765943308887,2766.268291398689,1879.5821698332152,948.2983871863868,833.957176009761,827.6379385253464,793.0881770885413,693.2870930222209,688.7227532903062,654.4970708425853,595.1404427099533,592.3588150196814,508.77301853925195,472.50251895274846,443.9621319389576,441.57828126767066,413.45954085316924,410.62145412776306,400.9359728085597,383.67563929390144,366.0791236093975,359.31800922343274,348.48183749842616,347.47019015202335,343.6502470477771,337.79654468036114,315.77916187757984,310.4910856561019,303.5628455221821,294.4188265501284,283.4529742530101,273.0488697052804,260.4392918369708,255.45243641522202,253.4876428990542,250.68933441873355,231.66495310139217,223.62177921874093,222.88646285165635,218.5997112804095,204.58969047207103,200.09105771934333,197.1779396928378,193.87168760389991,187.560735185518,185.3488867639967,179.4129465451348,176.75179971122168,176.73163739451084
topic#8,var,record,dict,plugin,isinst,row,tablenam,auth,languag,welcom,modul,adapt,scheme,flash,import,socket,thread,servic,expand,edit,rule,python,utf8,func,disk,router,task,span,node,cell,upload,ticket,sinatra,unabl,driver,soap,profil,illustr,pack,upgrad,licens,startswith,markdown,packet,menu,endpoint,frame,storag,button,margin
freq#8,9744.9773114273,9586.346142313958,8288.887751721219,7993.936896012654,6897.395278984469,5571.705428463205,5504.964447981243,5374.780576066508,4932.595874330898,4855.776340284828,4632.975181886823,4186.210418744829,4168.03321442837,3941.7285230659795,3832.520486552521,3791.8467215934584,3690.748408561579,3590.6973250359815,3550.541307742853,3544.5137860682926,3445.5734699578907,3318.9452338510673,3302.774777190798,3257.6498638603684,3168.4309808586236,3094.3592659517312,3084.923774486016,3058.8665471669765,2841.728329987635,2829.2136943374567,2826.129573724098,2818.0229084673533,2791.0385477277473,2759.8177672220695,2620.008033520011,2582.083120945472,2567.5925966074747,2470.9053010227044,2418.5050861316618,2405.9677469893027,2394.908867054265,2347.0505271355073,2251.0293850182425,2168.743158759049,2133.2000683550787,2118.1997063292642,2096.7493160370886,2086.107674761729,2084.563643501411,2045.4275875378944
topic#9,servic,softwar,licens,oper,free,lesser,java,distribut,list,node,warranti,factori,bean,properti,javax,foundat,modul,descript,deploy,subsystem,contributor,servlet,impli,receiv,fit,xml,merchant,annot,interceptor,floor,transact,1301,boss,hope,archiv,persist,term,web,junit,home,publish,boston,cluster,redistribut,fifth,timer,listen,id,writer,connector
